tensor(0.8942, device='cuda:0'),tensor(0.3767, device='cuda:0')
tensor(0.9370, device='cuda:0'),tensor(0.2381, device='cuda:0')
tensor(0.9019, device='cuda:0'),tensor(0.2579, device='cuda:0')
tensor(0.8800, device='cuda:0'),tensor(0.2259, device='cuda:0')
tensor(0.9273, device='cuda:0'),tensor(0.3204, device='cuda:0')
tensor(0.8463, device='cuda:0'),tensor(0.4402, device='cuda:0')
tensor(0.8282, device='cuda:0'),tensor(0.5027, device='cuda:0')
tensor(0.8678, device='cuda:0'),tensor(0.3448, device='cuda:0')
tensor(0.8346, device='cuda:0'),tensor(0.2486, device='cuda:0')
tensor(0.9318, device='cuda:0'),tensor(0.2297, device='cuda:0')
tensor(0.8900, device='cuda:0'),tensor(0.2897, device='cuda:0')
tensor(0.8505, device='cuda:0'),tensor(0.3495, device='cuda:0')
tensor(0.9388, device='cuda:0'),tensor(0.3058, device='cuda:0')
tensor(0.9060, device='cuda:0'),tensor(0.2525, device='cuda:0')
tensor(0.9088, device='cuda:0'),tensor(0.3617, device='cuda:0')
tensor(0.8322, device='cuda:0'),tensor(0.3582, device='cuda:0')
tensor(0.8552, device='cuda:0'),tensor(0.4079, device='cuda:0')
tensor(0.8474, device='cuda:0'),tensor(0.3407, device='cuda:0')
tensor(0.8728, device='cuda:0'),tensor(0.2715, device='cuda:0')
tensor(0.8176, device='cuda:0'),tensor(0.3195, device='cuda:0')
tensor(0.8767, device='cuda:0'),tensor(0.2942, device='cuda:0')
tensor(0.9509, device='cuda:0'),tensor(0.2047, device='cuda:0')
tensor(0.8128, device='cuda:0'),tensor(0.3539, device='cuda:0')
tensor(0.9148, device='cuda:0'),tensor(0.1779, device='cuda:0')
tensor(0.6117, device='cuda:0'),tensor(0.4280, device='cuda:0')
tensor(0.8455, device='cuda:0'),tensor(0.2795, device='cuda:0')
tensor(0.6623, device='cuda:0'),tensor(0.3707, device='cuda:0')
tensor(0.6920, device='cuda:0'),tensor(0.4510, device='cuda:0')
tensor(0.2894, device='cuda:0'),tensor(0.6777, device='cuda:0')
tensor(0.8405, device='cuda:0'),tensor(0.4878, device='cuda:0')
tensor(0.4948, device='cuda:0'),tensor(0.4236, device='cuda:0')
tensor(0.4936, device='cuda:0'),tensor(0.4365, device='cuda:0')
tensor(0.4170, device='cuda:0'),tensor(0.5989, device='cuda:0')
tensor(0.5898, device='cuda:0'),tensor(0.4740, device='cuda:0')
tensor(0.5205, device='cuda:0'),tensor(0.3639, device='cuda:0')
tensor(0.6951, device='cuda:0'),tensor(0.3529, device='cuda:0')
tensor(0.6720, device='cuda:0'),tensor(0.5671, device='cuda:0')
tensor(0.6431, device='cuda:0'),tensor(0.5039, device='cuda:0')
tensor(0.7219, device='cuda:0'),tensor(0.5289, device='cuda:0')
tensor(0.6233, device='cuda:0'),tensor(0.5096, device='cuda:0')
tensor(0.7016, device='cuda:0'),tensor(0.4998, device='cuda:0')
tensor(0.8377, device='cuda:0'),tensor(0.3731, device='cuda:0')
tensor(0.8056, device='cuda:0'),tensor(0.2212, device='cuda:0')
tensor(0.4813, device='cuda:0'),tensor(0.4321, device='cuda:0')
tensor(0.6784, device='cuda:0'),tensor(0.4192, device='cuda:0')
tensor(0.2464, device='cuda:0'),tensor(0.5246, device='cuda:0')
tensor(0.7737, device='cuda:0'),tensor(0.3270, device='cuda:0')
tensor(0.9073, device='cuda:0'),tensor(0.2069, device='cuda:0')
tensor(0.9277, device='cuda:0'),tensor(0.3296, device='cuda:0')
tensor(0.5948, device='cuda:0'),tensor(0.3936, device='cuda:0')
tensor(0.7332, device='cuda:0'),tensor(0.2124, device='cuda:0')
tensor(0.7143, device='cuda:0'),tensor(0.2948, device='cuda:0')
tensor(0.6429, device='cuda:0'),tensor(0.2510, device='cuda:0')
tensor(0.9087, device='cuda:0'),tensor(0.2221, device='cuda:0')
tensor(0.7611, device='cuda:0'),tensor(0.3819, device='cuda:0')
tensor(0.8847, device='cuda:0'),tensor(0.2677, device='cuda:0')
tensor(0.8680, device='cuda:0'),tensor(0.2331, device='cuda:0')
tensor(0.9086, device='cuda:0'),tensor(0.2606, device='cuda:0')
tensor(0.8027, device='cuda:0'),tensor(0.3653, device='cuda:0')
tensor(0.8498, device='cuda:0'),tensor(0.3866, device='cuda:0')
tensor(0.9239, device='cuda:0'),tensor(0.2166, device='cuda:0')
tensor(0.1741, device='cuda:0'),tensor(0.7044, device='cuda:0')
tensor(0.9461, device='cuda:0'),tensor(0.2459, device='cuda:0')
tensor(0.8525, device='cuda:0'),tensor(0.6500, device='cuda:0')
tensor(0.6515, device='cuda:0'),tensor(0.7167, device='cuda:0')
tensor(0.9352, device='cuda:0'),tensor(0.2509, device='cuda:0')
tensor(0.6986, device='cuda:0'),tensor(0.8038, device='cuda:0')
tensor(0.7076, device='cuda:0'),tensor(0.4410, device='cuda:0')
tensor(0.9036, device='cuda:0'),tensor(0.6618, device='cuda:0')
tensor(0.6429, device='cuda:0'),tensor(0.5189, device='cuda:0')
tensor(0.9018, device='cuda:0'),tensor(0.2006, device='cuda:0')
tensor(0.4876, device='cuda:0'),tensor(0.5997, device='cuda:0')
tensor(0.9510, device='cuda:0'),tensor(0.4432, device='cuda:0')
tensor(0.9645, device='cuda:0'),tensor(0.3293, device='cuda:0')
tensor(0.5306, device='cuda:0'),tensor(0.3215, device='cuda:0')
tensor(0.8695, device='cuda:0'),tensor(0.6918, device='cuda:0')
tensor(0.8536, device='cuda:0'),tensor(0.3379, device='cuda:0')
