tensor([[1.4618]], device='cuda:0'),tensor(0.5822, device='cuda:0')
tensor([[0.6002]], device='cuda:0'),tensor(0.5450, device='cuda:0')
tensor([[1.9963]], device='cuda:0'),tensor(0.8410, device='cuda:0')
tensor([[1.0180]], device='cuda:0'),tensor(0.3839, device='cuda:0')
tensor([[0.2498]], device='cuda:0'),tensor(0.1380, device='cuda:0')
tensor([[2.2646]], device='cuda:0'),tensor(0.7173, device='cuda:0')
tensor([[2.5777]], device='cuda:0'),tensor(0.8809, device='cuda:0')
tensor([[1.0534]], device='cuda:0'),tensor(0.4520, device='cuda:0')
tensor([[2.3324]], device='cuda:0'),tensor(0.7044, device='cuda:0')
tensor([[2.2380]], device='cuda:0'),tensor(0.6932, device='cuda:0')
tensor([[1.4658]], device='cuda:0'),tensor(0.5577, device='cuda:0')
tensor([[0.1141]], device='cuda:0'),tensor(0.1616, device='cuda:0')
tensor([[1.5070]], device='cuda:0'),tensor(0.6600, device='cuda:0')
tensor([[0.9144]], device='cuda:0'),tensor(0.3226, device='cuda:0')
tensor([[2.1381]], device='cuda:0'),tensor(0.7477, device='cuda:0')
tensor([[1.0180]], device='cuda:0'),tensor(0.3839, device='cuda:0')
tensor([[1.3496]], device='cuda:0'),tensor(0.5774, device='cuda:0')
tensor([[1.1539]], device='cuda:0'),tensor(0.7014, device='cuda:0')
tensor([[1.1289]], device='cuda:0'),tensor(0.3624, device='cuda:0')
tensor([[1.8693]], device='cuda:0'),tensor(0.7010, device='cuda:0')
tensor([[1.1750]], device='cuda:0'),tensor(0.4457, device='cuda:0')
tensor([[1.0759]], device='cuda:0'),tensor(0.5247, device='cuda:0')
tensor([[1.3966]], device='cuda:0'),tensor(0.3920, device='cuda:0')
tensor([[1.5519]], device='cuda:0'),tensor(0.6335, device='cuda:0')
tensor([[0.9144]], device='cuda:0'),tensor(0.3226, device='cuda:0')
tensor([[2.9397]], device='cuda:0'),tensor(0.5683, device='cuda:0')
tensor([[1.2043]], device='cuda:0'),tensor(0.7416, device='cuda:0')
tensor([[0.8454]], device='cuda:0'),tensor(0.4496, device='cuda:0')
