tensor(0.3867, device='cuda:0'),tensor(0.5756, device='cuda:0')
tensor(0.1590, device='cuda:0'),tensor(0.6797, device='cuda:0')
tensor(0.3885, device='cuda:0'),tensor(0.4267, device='cuda:0')
tensor(0.9661, device='cuda:0'),tensor(0.2409, device='cuda:0')
tensor(0.8375, device='cuda:0'),tensor(0.4171, device='cuda:0')
tensor(0.8376, device='cuda:0'),tensor(0.4124, device='cuda:0')
tensor(0.0940, device='cuda:0'),tensor(0.8396, device='cuda:0')
tensor(0.9534, device='cuda:0'),tensor(0.1717, device='cuda:0')
tensor(0.9543, device='cuda:0'),tensor(0.3750, device='cuda:0')
tensor(0.1371, device='cuda:0'),tensor(0.8214, device='cuda:0')
tensor(0.8797, device='cuda:0'),tensor(0.2737, device='cuda:0')
tensor(0.9428, device='cuda:0'),tensor(0.2555, device='cuda:0')
tensor(0.1539, device='cuda:0'),tensor(0.7173, device='cuda:0')
tensor(0.5059, device='cuda:0'),tensor(0.4883, device='cuda:0')
tensor(0.9111, device='cuda:0'),tensor(0.2938, device='cuda:0')
tensor(0.1598, device='cuda:0'),tensor(0.6227, device='cuda:0')
tensor(0.1557, device='cuda:0'),tensor(0.6980, device='cuda:0')
tensor(0.5813, device='cuda:0'),tensor(0.3226, device='cuda:0')
tensor(0.2589, device='cuda:0'),tensor(0.5803, device='cuda:0')
tensor(0.4245, device='cuda:0'),tensor(0.4897, device='cuda:0')
tensor(0.7884, device='cuda:0'),tensor(0.3615, device='cuda:0')
tensor(0.1923, device='cuda:0'),tensor(0.7072, device='cuda:0')
tensor(0.4366, device='cuda:0'),tensor(0.4944, device='cuda:0')
tensor(0.2323, device='cuda:0'),tensor(0.5525, device='cuda:0')
tensor(0.2907, device='cuda:0'),tensor(0.5435, device='cuda:0')
tensor(0.9582, device='cuda:0'),tensor(0.2529, device='cuda:0')
tensor(0.3249, device='cuda:0'),tensor(0.5513, device='cuda:0')
tensor(0.1261, device='cuda:0'),tensor(0.6848, device='cuda:0')
tensor(0.5813, device='cuda:0'),tensor(0.3226, device='cuda:0')
tensor(0.1467, device='cuda:0'),tensor(0.7066, device='cuda:0')
tensor(0.8023, device='cuda:0'),tensor(0.3263, device='cuda:0')
tensor(0.4248, device='cuda:0'),tensor(0.4518, device='cuda:0')
tensor(0.7117, device='cuda:0'),tensor(0.4607, device='cuda:0')
tensor(0.1397, device='cuda:0'),tensor(0.7962, device='cuda:0')
tensor(0.1539, device='cuda:0'),tensor(0.7173, device='cuda:0')
tensor(0.5813, device='cuda:0'),tensor(0.3226, device='cuda:0')
tensor(0.6230, device='cuda:0'),tensor(0.3334, device='cuda:0')
tensor(0.7884, device='cuda:0'),tensor(0.3615, device='cuda:0')
tensor(0.9584, device='cuda:0'),tensor(0.1709, device='cuda:0')
tensor(0.1068, device='cuda:0'),tensor(0.7167, device='cuda:0')
tensor(0.9645, device='cuda:0'),tensor(0.2558, device='cuda:0')
tensor(0.2751, device='cuda:0'),tensor(0.6476, device='cuda:0')
tensor(0.0661, device='cuda:0'),tensor(0.7653, device='cuda:0')
tensor(0.1032, device='cuda:0'),tensor(0.8327, device='cuda:0')
tensor(0.9485, device='cuda:0'),tensor(0.4370, device='cuda:0')
tensor(0.8775, device='cuda:0'),tensor(0.4404, device='cuda:0')
tensor(0.7389, device='cuda:0'),tensor(0.4867, device='cuda:0')
tensor(0.7916, device='cuda:0'),tensor(0.3113, device='cuda:0')
tensor(0.9416, device='cuda:0'),tensor(0.2291, device='cuda:0')
tensor(0.3626, device='cuda:0'),tensor(0.8432, device='cuda:0')
tensor(0.1116, device='cuda:0'),tensor(0.8110, device='cuda:0')
tensor(0.1203, device='cuda:0'),tensor(0.8467, device='cuda:0')
tensor(0.9342, device='cuda:0'),tensor(0.2759, device='cuda:0')
tensor(0.1075, device='cuda:0'),tensor(0.7994, device='cuda:0')
tensor(0.3860, device='cuda:0'),tensor(0.5965, device='cuda:0')
tensor(0.9536, device='cuda:0'),tensor(0.1737, device='cuda:0')
tensor(0.0608, device='cuda:0'),tensor(0.7871, device='cuda:0')
tensor(0.1153, device='cuda:0'),tensor(0.5850, device='cuda:0')
tensor(0.5901, device='cuda:0'),tensor(0.3901, device='cuda:0')
tensor(0.1075, device='cuda:0'),tensor(0.7450, device='cuda:0')
tensor(0.4134, device='cuda:0'),tensor(0.4368, device='cuda:0')
tensor(0.1923, device='cuda:0'),tensor(0.7072, device='cuda:0')
tensor(0.5457, device='cuda:0'),tensor(0.3905, device='cuda:0')
tensor(0.1082, device='cuda:0'),tensor(0.7534, device='cuda:0')
tensor(0.6167, device='cuda:0'),tensor(0.5735, device='cuda:0')
tensor(0.6764, device='cuda:0'),tensor(0.4448, device='cuda:0')
tensor(0.2302, device='cuda:0'),tensor(0.5933, device='cuda:0')
tensor(0.9370, device='cuda:0'),tensor(0.3442, device='cuda:0')
tensor(0.5605, device='cuda:0'),tensor(0.5305, device='cuda:0')
tensor(0.8912, device='cuda:0'),tensor(0.2304, device='cuda:0')
tensor(0.9767, device='cuda:0'),tensor(0.2512, device='cuda:0')
tensor(0.0920, device='cuda:0'),tensor(0.8410, device='cuda:0')
tensor(0.2247, device='cuda:0'),tensor(0.4446, device='cuda:0')
tensor(0.7175, device='cuda:0'),tensor(0.3388, device='cuda:0')
tensor(0.1203, device='cuda:0'),tensor(0.8467, device='cuda:0')
tensor(0.1513, device='cuda:0'),tensor(0.6932, device='cuda:0')
tensor(0.9185, device='cuda:0'),tensor(0.2007, device='cuda:0')
tensor(0.9759, device='cuda:0'),tensor(0.1833, device='cuda:0')
tensor(0.1886, device='cuda:0'),tensor(0.6335, device='cuda:0')
tensor(0.9152, device='cuda:0'),tensor(0.2495, device='cuda:0')
tensor(0.4320, device='cuda:0'),tensor(0.4503, device='cuda:0')
tensor(0.1923, device='cuda:0'),tensor(0.7072, device='cuda:0')
tensor(0.9717, device='cuda:0'),tensor(0.1136, device='cuda:0')
tensor(0.9542, device='cuda:0'),tensor(0.2204, device='cuda:0')
tensor(0.9708, device='cuda:0'),tensor(0.1878, device='cuda:0')
tensor(0.8797, device='cuda:0'),tensor(0.2737, device='cuda:0')
tensor(0.1614, device='cuda:0'),tensor(0.2640, device='cuda:0')
tensor(0.5026, device='cuda:0'),tensor(0.5534, device='cuda:0')
tensor(0.8996, device='cuda:0'),tensor(0.3564, device='cuda:0')
tensor(0.1934, device='cuda:0'),tensor(0.3966, device='cuda:0')
tensor(0.8292, device='cuda:0'),tensor(0.4724, device='cuda:0')
tensor(0.1597, device='cuda:0'),tensor(0.5639, device='cuda:0')
tensor(0.7753, device='cuda:0'),tensor(0.6092, device='cuda:0')
tensor(0.4530, device='cuda:0'),tensor(0.5731, device='cuda:0')
tensor(0.2185, device='cuda:0'),tensor(0.8026, device='cuda:0')
tensor(0.9037, device='cuda:0'),tensor(0.1887, device='cuda:0')
