tensor([[1.8083]], device='cuda:0'),tensor(0.0730, device='cuda:0'),tensor(0.7910, device='cuda:0')
tensor([[1.8303]], device='cuda:0'),tensor(0.6144, device='cuda:0'),tensor(0.5456, device='cuda:0')
tensor([[1.4525]], device='cuda:0'),tensor(0.4530, device='cuda:0'),tensor(0.5731, device='cuda:0')
tensor([[0.3647]], device='cuda:0'),tensor(0.8945, device='cuda:0'),tensor(0.1142, device='cuda:0')
tensor([[0.4392]], device='cuda:0'),tensor(0.9342, device='cuda:0'),tensor(0.2759, device='cuda:0')
tensor([[0.6742]], device='cuda:0'),tensor(0.7884, device='cuda:0'),tensor(0.3615, device='cuda:0')
tensor([[1.5967]], device='cuda:0'),tensor(0.0844, device='cuda:0'),tensor(0.7847, device='cuda:0')
tensor([[0.8990]], device='cuda:0'),tensor(0.6430, device='cuda:0'),tensor(0.5797, device='cuda:0')
tensor([[0.6317]], device='cuda:0'),tensor(0.9185, device='cuda:0'),tensor(0.2007, device='cuda:0')
tensor([[1.5571]], device='cuda:0'),tensor(0.3289, device='cuda:0'),tensor(0.3575, device='cuda:0')
tensor([[0.9800]], device='cuda:0'),tensor(0.7121, device='cuda:0'),tensor(0.4798, device='cuda:0')
tensor([[0.7321]], device='cuda:0'),tensor(0.9624, device='cuda:0'),tensor(0.1528, device='cuda:0')
tensor([[0.6755]], device='cuda:0'),tensor(0.5592, device='cuda:0'),tensor(0.5885, device='cuda:0')
tensor([[1.1794]], device='cuda:0'),tensor(0.8292, device='cuda:0'),tensor(0.4724, device='cuda:0')
tensor([[0.4886]], device='cuda:0'),tensor(0.8550, device='cuda:0'),tensor(0.3618, device='cuda:0')
tensor([[1.9963]], device='cuda:0'),tensor(0.0920, device='cuda:0'),tensor(0.8410, device='cuda:0')
tensor([[1.8597]], device='cuda:0'),tensor(0.0854, device='cuda:0'),tensor(0.7714, device='cuda:0')
tensor([[1.1564]], device='cuda:0'),tensor(0.0987, device='cuda:0'),tensor(0.7053, device='cuda:0')
tensor([[2.2638]], device='cuda:0'),tensor(0.9683, device='cuda:0'),tensor(0.1819, device='cuda:0')
tensor([[-0.0138]], device='cuda:0'),tensor(0.9620, device='cuda:0'),tensor(0.2941, device='cuda:0')
tensor([[1.5441]], device='cuda:0'),tensor(0.8999, device='cuda:0'),tensor(0.3335, device='cuda:0')
