tensor([[1.7008]], device='cuda:0'),tensor(0.3078, device='cuda:0')
tensor([[1.1177]], device='cuda:0'),tensor(0.6569, device='cuda:0')
tensor([[1.0360]], device='cuda:0'),tensor(0.6631, device='cuda:0')
tensor([[0.8222]], device='cuda:0'),tensor(0.2028, device='cuda:0')
tensor([[1.2734]], device='cuda:0'),tensor(0.9635, device='cuda:0')
tensor([[1.6053]], device='cuda:0'),tensor(0.4230, device='cuda:0')
tensor([[1.1388]], device='cuda:0'),tensor(0.7691, device='cuda:0')
tensor([[1.8103]], device='cuda:0'),tensor(0.6619, device='cuda:0')
tensor([[0.6534]], device='cuda:0'),tensor(0.1822, device='cuda:0')
tensor([[2.1994]], device='cuda:0'),tensor(0.2886, device='cuda:0')
tensor([[1.4814]], device='cuda:0'),tensor(0.8200, device='cuda:0')
tensor([[1.5695]], device='cuda:0'),tensor(0.2958, device='cuda:0')
tensor([[1.2779]], device='cuda:0'),tensor(0.8483, device='cuda:0')
tensor([[1.1646]], device='cuda:0'),tensor(0.9430, device='cuda:0')
tensor([[1.1492]], device='cuda:0'),tensor(0.9725, device='cuda:0')
tensor([[0.6481]], device='cuda:0'),tensor(0.5792, device='cuda:0')
tensor([[1.9252]], device='cuda:0'),tensor(0.9821, device='cuda:0')
tensor([[1.7710]], device='cuda:0'),tensor(0.5974, device='cuda:0')
tensor([[1.6865]], device='cuda:0'),tensor(0.4317, device='cuda:0')
tensor([[0.7506]], device='cuda:0'),tensor(0.9713, device='cuda:0')
tensor([[0.4929]], device='cuda:0'),tensor(0.9180, device='cuda:0')
tensor([[2.3601]], device='cuda:0'),tensor(0.5812, device='cuda:0')
tensor([[0.5894]], device='cuda:0'),tensor(0.6369, device='cuda:0')
tensor([[1.0023]], device='cuda:0'),tensor(0.7752, device='cuda:0')
tensor([[0.7699]], device='cuda:0'),tensor(0.9748, device='cuda:0')
tensor([[2.0465]], device='cuda:0'),tensor(0.2458, device='cuda:0')
tensor([[1.7695]], device='cuda:0'),tensor(0.3536, device='cuda:0')
tensor([[3.1426]], device='cuda:0'),tensor(0.0663, device='cuda:0')
tensor([[1.6999]], device='cuda:0'),tensor(0.1067, device='cuda:0')
tensor([[0.7615]], device='cuda:0'),tensor(0.8911, device='cuda:0')
tensor([[2.5070]], device='cuda:0'),tensor(0.5920, device='cuda:0')
