tensor([[2.3907]], device='cuda:0'),tensor(0.6267, device='cuda:0')
tensor([[2.5670]], device='cuda:0'),tensor(0.6631, device='cuda:0')
tensor([[2.5909]], device='cuda:0'),tensor(0.7681, device='cuda:0')
tensor([[1.9261]], device='cuda:0'),tensor(0.8061, device='cuda:0')
tensor([[2.1353]], device='cuda:0'),tensor(0.7222, device='cuda:0')
tensor([[1.4444]], device='cuda:0'),tensor(0.5570, device='cuda:0')
tensor([[2.3015]], device='cuda:0'),tensor(0.6272, device='cuda:0')
tensor([[2.0443]], device='cuda:0'),tensor(0.4890, device='cuda:0')
tensor([[0.9763]], device='cuda:0'),tensor(0.5632, device='cuda:0')
tensor([[2.0311]], device='cuda:0'),tensor(0.6994, device='cuda:0')
tensor([[1.4169]], device='cuda:0'),tensor(0.6220, device='cuda:0')
tensor([[2.3808]], device='cuda:0'),tensor(0.8517, device='cuda:0')
tensor([[1.9738]], device='cuda:0'),tensor(0.3619, device='cuda:0')
tensor([[2.5686]], device='cuda:0'),tensor(0.7665, device='cuda:0')
tensor([[4.2688]], device='cuda:0'),tensor(0.5194, device='cuda:0')
tensor([[2.4521]], device='cuda:0'),tensor(0.3142, device='cuda:0')
tensor([[1.2422]], device='cuda:0'),tensor(0.6409, device='cuda:0')
tensor([[1.9865]], device='cuda:0'),tensor(0.7356, device='cuda:0')
tensor([[1.9125]], device='cuda:0'),tensor(0.7410, device='cuda:0')
tensor([[2.6729]], device='cuda:0'),tensor(0.6008, device='cuda:0')
tensor([[2.8248]], device='cuda:0'),tensor(0.7531, device='cuda:0')
tensor([[2.0017]], device='cuda:0'),tensor(0.8651, device='cuda:0')
tensor([[0.7841]], device='cuda:0'),tensor(0.6928, device='cuda:0')
tensor([[1.6218]], device='cuda:0'),tensor(0.5276, device='cuda:0')
tensor([[2.2357]], device='cuda:0'),tensor(0.8697, device='cuda:0')
tensor([[1.4473]], device='cuda:0'),tensor(0.3810, device='cuda:0')
tensor([[1.5362]], device='cuda:0'),tensor(0.7060, device='cuda:0')
tensor([[1.9474]], device='cuda:0'),tensor(0.4651, device='cuda:0')
tensor([[1.4051]], device='cuda:0'),tensor(0.5244, device='cuda:0')
tensor([[1.4894]], device='cuda:0'),tensor(0.6234, device='cuda:0')
tensor([[2.0209]], device='cuda:0'),tensor(0.7637, device='cuda:0')
tensor([[2.0264]], device='cuda:0'),tensor(0.6981, device='cuda:0')
tensor([[3.4429]], device='cuda:0'),tensor(0.5828, device='cuda:0')
