fixing (0,25,1) with x, r2=0.0, c=1
fixing (0,25,2) with x, r2=0.0, c=1
fixing (0,25,3) with x, r2=0.0, c=1
fixing (0,25,4) with x, r2=0.0, c=1
fixing (0,25,5) with x, r2=0.0, c=1
fixing (0,25,6) with x, r2=0.0, c=1
fixing (0,26,0) with x, r2=0.0, c=1
fixing (0,26,1) with x, r2=0.0, c=1
fixing (0,26,2) with x, r2=0.0, c=1
fixing (0,26,3) with x, r2=0.0, c=1
fixing (0,26,4) with x, r2=0.0, c=1
fixing (0,26,5) with x, r2=0.0, c=1
fixing (0,26,6) with x, r2=0.0, c=1
fixing (0,27,0) with x, r2=0.0, c=1
fixing (0,27,1) with x, r2=0.0, c=1
fixing (0,27,2) with x, r2=0.0, c=1
fixing (0,27,3) with x, r2=0.0, c=1
fixing (0,27,4) with x, r2=0.0, c=1
fixing (0,27,5) with x, r2=0.0, c=1
fixing (0,27,6) with x, r2=0.0, c=1
fixing (0,28,0) with x, r2=0.0, c=1
fixing (0,28,1) with x, r2=0.0, c=1
fixing (0,28,2) with x, r2=0.0, c=1
fixing (0,28,3) with x, r2=0.0, c=1
fixing (0,28,4) with x, r2=0.0, c=1
fixing (0,28,5) with x, r2=0.0, c=1
fixing (0,28,6) with x, r2=0.0, c=1
fixing (0,29,0) with x, r2=0.0, c=1
fixing (0,29,1) with x, r2=0.0, c=1
fixing (0,29,2) with x, r2=0.0, c=1
fixing (0,29,3) with x, r2=0.0, c=1
fixing (0,29,4) with x, r2=0.0, c=1
fixing (0,29,5) with x, r2=0.0, c=1
fixing (0,29,6) with x, r2=0.0, c=1
fixing (0,30,0) with x, r2=0.0, c=1
fixing (0,30,1) with x, r2=0.0, c=1
fixing (0,30,2) with x, r2=0.0, c=1
fixing (0,30,3) with x, r2=0.0, c=1
fixing (0,30,4) with x, r2=0.0, c=1
fixing (0,30,5) with x, r2=0.0, c=1
fixing (0,30,6) with x, r2=0.0, c=1
fixing (0,31,0) with x, r2=0.0, c=1
fixing (0,31,1) with x, r2=0.0, c=1
fixing (0,31,2) with x, r2=0.0, c=1
fixing (0,31,3) with x, r2=0.0, c=1
fixing (0,31,4) with x, r2=0.0, c=1
fixing (0,31,5) with x, r2=0.0, c=1
fixing (0,31,6) with x, r2=0.0, c=1
fixing (0,32,0) with x, r2=0.0, c=1
fixing (0,32,1) with x, r2=0.0, c=1
fixing (0,32,2) with x, r2=0.0, c=1
fixing (0,32,3) with x, r2=0.0, c=1
fixing (0,32,4) with x, r2=0.0, c=1
fixing (0,32,5) with x, r2=0.0, c=1
fixing (0,32,6) with x, r2=0.0, c=1
fixing (0,33,0) with x, r2=0.0, c=1
fixing (0,33,1) with x, r2=0.0, c=1
fixing (0,33,2) with x, r2=0.0, c=1
fixing (0,33,3) with x, r2=0.0, c=1
fixing (0,33,4) with x, r2=0.0, c=1
fixing (0,33,5) with x, r2=0.0, c=1
fixing (0,33,6) with x, r2=0.0, c=1
fixing (0,34,0) with x, r2=0.0, c=1
fixing (0,34,1) with x, r2=0.0, c=1
fixing (0,34,2) with x, r2=0.0, c=1
fixing (0,34,3) with x, r2=0.0, c=1
fixing (0,34,4) with x, r2=0.0, c=1
fixing (0,34,5) with x, r2=0.0, c=1
fixing (0,34,6) with x, r2=0.0, c=1
fixing (0,35,0) with x, r2=0.0, c=1
fixing (0,35,1) with x, r2=0.0, c=1
fixing (0,35,2) with x, r2=0.0, c=1
fixing (0,35,3) with x, r2=0.0, c=1
fixing (0,35,4) with x, r2=0.0, c=1
fixing (0,35,5) with x, r2=0.0, c=1
fixing (0,35,6) with x, r2=0.0, c=1
fixing (0,36,0) with x, r2=0.0, c=1
fixing (0,36,1) with x, r2=0.0, c=1
fixing (0,36,2) with x, r2=0.0, c=1
fixing (0,36,3) with x, r2=0.0, c=1
fixing (0,36,4) with x, r2=0.0, c=1
fixing (0,36,5) with x, r2=0.0, c=1
fixing (0,36,6) with x, r2=0.0, c=1
fixing (0,37,0) with x, r2=0.0, c=1
fixing (0,37,1) with x, r2=0.0, c=1
fixing (0,37,2) with x, r2=0.0, c=1
fixing (0,37,3) with x, r2=0.0, c=1
fixing (0,37,4) with x, r2=0.0, c=1
fixing (0,37,5) with x, r2=0.0, c=1
fixing (0,37,6) with x, r2=0.0, c=1
fixing (0,38,0) with x, r2=0.0, c=1
fixing (0,38,1) with x, r2=0.0, c=1
fixing (0,38,2) with x, r2=0.0, c=1
fixing (0,38,3) with x, r2=0.0, c=1
fixing (0,38,4) with x, r2=0.0, c=1
fixing (0,38,5) with x, r2=0.0, c=1
fixing (0,38,6) with x, r2=0.0, c=1
fixing (0,39,0) with x, r2=0.0, c=1
fixing (0,39,1) with x, r2=0.0, c=1
fixing (0,39,2) with x, r2=0.0, c=1
fixing (0,39,3) with x, r2=0.0, c=1
fixing (0,39,4) with x, r2=0.0, c=1
fixing (0,39,5) with x, r2=0.0, c=1
fixing (0,39,6) with x, r2=0.0, c=1
fixing (0,40,0) with x, r2=0.0, c=1
fixing (0,40,1) with x, r2=0.0, c=1
fixing (0,40,2) with x, r2=0.0, c=1
fixing (0,40,3) with x, r2=0.0, c=1
fixing (0,40,4) with x, r2=0.0, c=1
fixing (0,40,5) with x, r2=0.0, c=1
fixing (0,40,6) with x, r2=0.0, c=1
fixing (0,41,0) with x, r2=0.0, c=1
fixing (0,41,1) with x, r2=0.0, c=1
fixing (0,41,2) with x, r2=0.0, c=1
fixing (0,41,3) with x, r2=0.0, c=1
fixing (0,41,4) with x, r2=0.0, c=1
fixing (0,41,5) with x, r2=0.0, c=1
fixing (0,41,6) with x, r2=0.0, c=1
fixing (0,42,0) with x, r2=0.0, c=1
fixing (0,42,1) with x, r2=0.0, c=1
fixing (0,42,2) with x, r2=0.0, c=1
fixing (0,42,3) with x, r2=0.0, c=1
fixing (0,42,4) with x, r2=0.0, c=1
fixing (0,42,5) with x, r2=0.0, c=1
fixing (0,42,6) with x, r2=0.0, c=1
fixing (0,43,0) with x, r2=0.0, c=1
fixing (0,43,1) with x, r2=0.0, c=1
fixing (0,43,2) with x, r2=0.0, c=1
fixing (0,43,3) with x, r2=0.0, c=1
fixing (0,43,4) with x, r2=0.0, c=1
fixing (0,43,5) with x, r2=0.0, c=1
fixing (0,43,6) with x, r2=0.0, c=1
fixing (0,44,0) with x, r2=0.0, c=1
fixing (0,44,1) with x, r2=0.0, c=1
fixing (0,44,2) with x, r2=0.0, c=1
fixing (0,44,3) with x, r2=0.0, c=1
fixing (0,44,4) with x, r2=0.0, c=1
fixing (0,44,5) with x, r2=0.0, c=1
fixing (0,44,6) with x, r2=0.0, c=1
fixing (0,45,0) with x, r2=1.0000007152557373, c=1
fixing (0,45,1) with x, r2=1.0000005960464478, c=1
fixing (0,45,2) with x, r2=1.0000008344650269, c=1
fixing (0,45,3) with x, r2=1.0000009536743164, c=1
fixing (0,45,4) with x, r2=1.0000007152557373, c=1
fixing (0,45,5) with x, r2=1.0000008344650269, c=1
fixing (0,45,6) with x, r2=1.0000011920928955, c=1
fixing (0,46,0) with x, r2=0.0, c=1
fixing (0,46,1) with x, r2=0.0, c=1
fixing (0,46,2) with x, r2=0.0, c=1
fixing (0,46,3) with x, r2=0.0, c=1
fixing (0,46,4) with x, r2=0.0, c=1
fixing (0,46,5) with x, r2=0.0, c=1
fixing (0,46,6) with x, r2=0.0, c=1
fixing (0,47,0) with x, r2=0.0, c=1
fixing (0,47,1) with x, r2=0.0, c=1
fixing (0,47,2) with x, r2=0.0, c=1
fixing (0,47,3) with x, r2=0.0, c=1
fixing (0,47,4) with x, r2=0.0, c=1
fixing (0,47,5) with x, r2=0.0, c=1
fixing (0,47,6) with x, r2=0.0, c=1
fixing (0,48,0) with x, r2=0.0, c=1
fixing (0,48,1) with x, r2=0.0, c=1
fixing (0,48,2) with x, r2=0.0, c=1
fixing (0,48,3) with x, r2=0.0, c=1
fixing (0,48,4) with x, r2=0.0, c=1
fixing (0,48,5) with x, r2=0.0, c=1
fixing (0,48,6) with x, r2=0.0, c=1
fixing (0,49,0) with x, r2=0.0, c=1
fixing (0,49,1) with x, r2=0.0, c=1
fixing (0,49,2) with x, r2=0.0, c=1
